position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
2394,Silent Service,PC,Microprose  ,"MicroProse Software, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 85  ,N/A
2395,Silent Service,NES,Ultra Games  ,Rare Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 89  ,N/A
2396,Silent Service II,PC,Microprose  ,"MicroProse Software, Inc  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90  ,N/A
2397,Silent Thunder: A-10 Tank Killer II,PC,Sierra Entertainment  ,"Dynamix, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Feb 96  ,N/A
2398,Sim City 4: Rush Hour,PC,Electronic Arts  ,Microsoft  ,N/A  ,7.0  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 86  ,N/A
2399,SimAnt,PC,Maxis  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 91  ,N/A
2400,SimAnt,SNES,Maxis  ,Tomcat System  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 93  ,N/A
2401,SimCity,VC,Nintendo  ,Intelligent Systems  ,N/A  ,7.5  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Nov 06  ,N/A
2402,SimCity 2000,PSN,Sony Computer Entertainment  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Aug 09  ,N/A
2403,SimCity 2000,N64,Imagineer  ,Genki  ,N/A  ,3.5  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Jan 98  ,N/A
2404,SimCity 4: Rush Hour,PC,Electronic Arts  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Sep 03  ,N/A
2405,SimCity BuildIt,And,Electronic Arts  ,Electronic Arts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Oct 14  ,N/A
2406,SimCity Jr.,SNES,Imagineer  ,Imagineer  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jul 96  ,N/A
2407,SimCopter,PC,Maxis  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Oct 96  ,N/A
2408,SimEarth: The Living Planet,VC,Hudson Soft  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jun 09  ,N/A
2409,SimEarth: The Living Planet,PCE,Hudson Soft  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
2410,SimEarth: The Living Planet,SCD,Sega  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Mar 93  ,N/A
