position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
793,Mysterious Adventures in the Caribbean,DS,Unknown  ,Licensed 4U  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,26th Nov 10  ,N/A
794,Jewel Quest Mysteries 2: Trail of the Midnight Heart,PC,iWin   ,Licensed 4U  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,12th Jan 10  ,N/A
795,Boulder Dash EX,GBA,Kemco  ,Vision Works  ,N/A  ,7.7  ,N/A  ,N/A,0.00m,0.00m,0.00m,N/A,0.00m,16th Sep 02  ,N/A
796,Magic Ball 4,PC,PlayV  ,Dream Dale  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,02nd Sep 11  ,N/A
797,Challenge Me: Brain Puzzles 2,PC,O-Games  ,O Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,26th Oct 10  ,N/A
798,Angry Birds: Star Wars,PC,Rovio Mobile  ,Exient Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,08th Nov 12  ,16th Mar 18
799,Lara Gates: The Lost Talisman,PC,Big Fish Games  ,Big Fish Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,19th Nov 14  ,22nd Sep 18
800,The Mahjong,NS,D3Publisher  ,D3Publisher  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,N/A,0.00m,N/A,23rd Jun 18  ,07th Aug 18
801,Jewel Link: Galactic Quest,DS,Avanquest Software  ,Avanquest Software  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,07th Sep 12  ,08th May 19
802,Nightfall Mysteries: Asylum Conspiracy,PC,eGames  ,Vast Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,31st Dec 11  ,N/A
803,Buzz! Brain Bender,PSP,Sony Computer Entertainment  ,Relentless Software  ,N/A  ,6.5  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,28th Nov 08  ,N/A
804,Doctor Fizzwizzle's Animal Rescue,Wii,Conspiracy Entertainment  ,Replay Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,0.00m,N/A,N/A,0.00m,27th Oct 09  ,N/A
805,Bluebeard's Castle,PC,Big Fish Games  ,Big Fish Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,25th Feb 15  ,22nd Sep 18
806,Bookworm Adventures Deluxe,PC,PopCap Games  ,PopCap  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,14th Dec 06  ,N/A
807,Final Cut: Death on the Silver Screen,PC,Big Fish Games  ,Big Fish Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,28th Nov 14  ,22nd Sep 18
808,Toki Tori 2+,PS4,Soedesco  ,Two Tribes  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,07th Jun 16  ,21st Sep 18
809,Luxor: The King's Collection,PC,Mumbo Jumbo  ,MumboJumbo  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,06th May 08  ,N/A
810,Mortimer Beckett and the Secrets of Spooky Manor,PC,Mumbo Jumbo  ,Paprikari  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,19th Feb 08  ,N/A
811,Artifacts of the Past Ancient Mysteries,PC,Big Fish Games  ,Big Fish Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,08th May 15  ,22nd Sep 18
812,Puzzle Kingdoms,PC,Zoo Digital Publishing  ,Infinite Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,16th Apr 09  ,N/A
813,Grim Legends: The Forsaken Bride,PC,Avanquest Software  ,Artifex Mundi  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,20th Mar 15  ,22nd Sep 18
814,The Hidden Mystery Collectives: Mystic Diary 1 & 2,PC,Unknown  ,Big Fish Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,05th Aug 11  ,N/A
815,Mystery P.I.: The Lottery Ticket,PC,PopCap Games  ,SpinTop Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,18th Jul 07  ,N/A
816,Jewel Time Deluxe,PC,O-Games  ,O Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,17th Jun 11  ,N/A
817,Youda Farmer,DS,Foreign Media Games  ,Youda Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,12th Oct 10  ,N/A
818,Call of Atlantis,DS,Unknown  ,Foreign Media Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,31st Dec 20  ,N/A
819,Sekai Fushigi Hakken DS: Densetsu no Hitoshi-kun Ningyou o Sagase,DS,FuRyu Corporation  ,FuRyu Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,N/A,0.00m,N/A,06th Aug 09  ,N/A
820,Slingo Quest,DS,Mumbo Jumbo  ,Mac Play  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,0.00m,N/A,N/A,N/A,12th Dec 08  ,N/A
821,Tetris Ultimate,PSV,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,04th Jun 15  ,29th Jul 18
