position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Grand Theft Auto,Series,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,395.00m,N/A,N/A,N/A,N/A,N/A,27th Mar 98  ,03rd Feb 20
2,Minecraft,All,Mojang  ,Mojang AB  ,N/A  ,N/A  ,N/A  ,238.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 11  ,08th Oct 20
3,Lego,Series,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,203.22m,N/A,N/A,N/A,N/A,N/A,26th Sep 97  ,01st Mar 20
4,Assassin's Creed,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,200.00m,N/A,N/A,N/A,N/A,N/A,13th Nov 07  ,11th Feb 20
5,Grand Theft Auto V,All,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,175.00m,N/A,N/A,N/A,N/A,N/A,17th Sep 13  ,08th Oct 20
6,Tomb Raider,Series,Eidos Interactive  ,Core Design  ,N/A  ,N/A  ,N/A  ,141.00m,N/A,N/A,N/A,N/A,N/A,14th Nov 96  ,27th Feb 20
7,Resident Evil,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,139.00m,N/A,N/A,N/A,N/A,N/A,30th Mar 96  ,03rd Feb 20
8,The Legend of Zelda,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,125.31m,N/A,N/A,N/A,N/A,N/A,14th Jul 87  ,03rd Feb 20
9,Red Dead,Series,Rockstar Games  ,Rockstar San Diego  ,N/A  ,N/A  ,N/A  ,70.00m,N/A,N/A,N/A,N/A,N/A,04th May 04  ,26th Feb 20
10,Metal Gear,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,59.50m,N/A,N/A,N/A,N/A,N/A,13th Jul 87  ,26th Feb 20
11,Harry Potter/Wizarding World,Series,Electronic Arts  ,Griptonite Games  ,N/A  ,N/A  ,N/A  ,57.70m,N/A,N/A,N/A,N/A,N/A,15th Nov 01  ,23rd Feb 23
12,Lego Star Wars,Series,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,53.20m,N/A,N/A,N/A,N/A,N/A,29th Mar 05  ,02nd Mar 20
13,Red Dead Redemption 2,All,Rockstar Games  ,Rockstar Studios  ,N/A  ,N/A  ,N/A  ,50.00m,N/A,N/A,N/A,N/A,N/A,26th Oct 18  ,08th Oct 20
14,Terraria,Series,505 Games  ,Re-Logic  ,N/A  ,N/A  ,N/A  ,44.50m,N/A,N/A,N/A,N/A,N/A,16th May 11  ,07th Mar 20
15,Spider-Man,Series,Parker Brothers  ,Parker Brothers  ,N/A  ,N/A  ,N/A  ,41.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 82  ,12th Mar 20
16,The Last of Us,Series,Sony Interactive Entertainment  ,Naughty Dog  ,N/A  ,N/A  ,N/A  ,37.00m,N/A,N/A,N/A,N/A,N/A,14th Jun 13  ,02nd Mar 20
17,Marvel's Spider-Man,Series,Sony Interactive Entertainment  ,Insomniac Games  ,N/A  ,N/A  ,N/A  ,33.00m,N/A,N/A,N/A,N/A,N/A,07th Sep 18  ,08th Jan 23
18,Tom Clancy's Splinter Cell,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,31.00m,N/A,N/A,N/A,N/A,N/A,17th Nov 02  ,08th Feb 20
19,The Legend of Zelda: Breath of the Wild,All,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,30.70m,N/A,N/A,N/A,N/A,N/A,03rd Mar 17  ,07th Feb 23
20,Dying Light,Series,Techland  ,Techland  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,27th Jan 15  ,22nd Apr 22
